State,District,Market,Commodity Group,Commodity,Date,MSP,Arrival Quantity,Arrival Unit,Min Price ,Modal Price,Max Price,Price Unit
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,19-07-23,-,0.1,Metric Tonnes,3920,3950,3980,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,19-07-23,0,2.1,Metric Tonnes,1290,1320,1350,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,19-07-23,0,140,Metric Tonnes,930,960,990,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,19-07-23,0,0.1,Metric Tonnes,7500,7550,7600,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,20-07-23,-,0.1,Metric Tonnes,3260,3300,3340,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,20-07-23,0,2.2,Metric Tonnes,1270,1300,1330,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,20-07-23,0,140,Metric Tonnes,900,950,1000,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,20-07-23,0,0.1,Metric Tonnes,7550,7600,7650,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,21-07-23,-,0.1,Metric Tonnes,3160,3200,3240,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,21-07-23,0,2.5,Metric Tonnes,1270,1310,1350,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,21-07-23,0,190,Metric Tonnes,950,980,1010,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,21-07-23,0,0.1,Metric Tonnes,7550,7600,7650,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,22-07-23,-,0.1,Metric Tonnes,3000,3050,3100,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,22-07-23,0,2.8,Metric Tonnes,1270,1300,1330,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,22-07-23,0,190,Metric Tonnes,940,980,1020,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,22-07-23,0,0.1,Metric Tonnes,7400,7450,7500,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,23-07-23,-,0.1,Metric Tonnes,3040,3060,3080,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,23-07-23,0,2.5,Metric Tonnes,1280,1320,1360,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,23-07-23,0,200,Metric Tonnes,950,980,1010,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,23-07-23,0,0.1,Metric Tonnes,7450,7500,7550,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,24-07-23,-,0.1,Metric Tonnes,3140,3150,3160,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,24-07-23,0,2.8,Metric Tonnes,1260,1290,1320,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,24-07-23,0,460,Metric Tonnes,930,970,1010,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,24-07-23,0,0.1,Metric Tonnes,7350,7400,7450,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,25-07-23,-,0.1,Metric Tonnes,3160,3200,3240,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,25-07-23,0,2.4,Metric Tonnes,1280,1310,1340,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,25-07-23,0,1060,Metric Tonnes,950,990,1030,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,25-07-23,0,0.1,Metric Tonnes,7500,7530,7560,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,26-07-23,-,0.1,Metric Tonnes,2950,3000,3050,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,26-07-23,0,2.6,Metric Tonnes,1290,1320,1350,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,26-07-23,0,1100,Metric Tonnes,950,975,1000,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,26-07-23,0,0.1,Metric Tonnes,7550,7600,7650,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,27-07-23,-,0.1,Metric Tonnes,2940,2980,3020,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,27-07-23,0,2.7,Metric Tonnes,1300,1315,1330,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,27-07-23,0,1200,Metric Tonnes,940,980,1020,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,27-07-23,0,0.1,Metric Tonnes,7600,7650,7700,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,28-07-23,-,0.1,Metric Tonnes,2900,2950,3000,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,28-07-23,0,2.8,Metric Tonnes,1280,1310,1340,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,28-07-23,0,1150,Metric Tonnes,940,970,1000,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,28-07-23,0,0.1,Metric Tonnes,7550,7600,7650,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,29-07-23,-,0.1,Metric Tonnes,2750,2800,2850,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,29-07-23,0,2.6,Metric Tonnes,1290,1320,1350,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,29-07-23,0,1160,Metric Tonnes,950,980,1020,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,29-07-23,0,0.1,Metric Tonnes,7650,7700,7750,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,30-07-23,-,0.1,Metric Tonnes,2800,2840,2880,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,30-07-23,0,2.6,Metric Tonnes,1300,1340,1380,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,30-07-23,0,1000,Metric Tonnes,960,985,1020,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,30-07-23,0,0.1,Metric Tonnes,7700,7800,7900,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,31-07-23,-,0.1,Metric Tonnes,2850,2900,2950,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,31-07-23,0,2.7,Metric Tonnes,1320,1360,1400,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,31-07-23,0,900,Metric Tonnes,950,990,1030,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,31-07-23,0,0.1,Metric Tonnes,7750,7800,7850,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,01-08-23,-,0.1,Metric Tonnes,2950,3000,3050,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,01-08-23,0,2.4,Metric Tonnes,1330,1350,1370,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,01-08-23,0,800,Metric Tonnes,940,970,1000,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,02-08-23,-,0.1,Metric Tonnes,2950,3000,3050,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,02-08-23,0,2.8,Metric Tonnes,1310,1340,1370,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,02-08-23,0,700,Metric Tonnes,950,985,1020,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,03-08-23,-,0.1,Metric Tonnes,3050,3100,3150,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,03-08-23,0,2.2,Metric Tonnes,1360,1400,1440,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,03-08-23,0,780,Metric Tonnes,960,990,1020,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,04-08-23,-,0.1,Metric Tonnes,3000,3020,3040,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,04-08-23,0,2.3,Metric Tonnes,1330,1370,1400,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,04-08-23,0,750,Metric Tonnes,960,1000,1040,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,05-08-23,-,0.1,Metric Tonnes,2970,3000,3030,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,05-08-23,0,2.1,Metric Tonnes,1340,1380,1420,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,05-08-23,0,780,Metric Tonnes,940,980,1020,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,06-08-23,-,0.1,Metric Tonnes,3000,3020,3040,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,06-08-23,0,2.2,Metric Tonnes,1330,1360,1390,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,06-08-23,0,750,Metric Tonnes,950,990,1030,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,07-08-23,-,0.1,Metric Tonnes,2930,2950,2970,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,07-08-23,0,2.2,Metric Tonnes,1350,1400,1450,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,07-08-23,0,800,Metric Tonnes,950,985,1020,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,08-08-23,-,0.1,Metric Tonnes,2930,2950,2970,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,08-08-23,0,2.3,Metric Tonnes,1330,1360,1390,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,08-08-23,0,650,Metric Tonnes,950,990,1030,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,09-08-23,-,0.1,Metric Tonnes,2880,2900,2920,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,09-08-23,0,2.2,Metric Tonnes,1360,1400,1440,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,09-08-23,0,700,Metric Tonnes,940,980,1020,Rs./Quintal
